,center,mom025,mom05,field_com,field_max,oracle_best,best_candidate,map,ring5_radius,oracle_norm_error
521,423.24933549859236,419.3075392835191,534.3605992211626,33.36202708068335,159.82085971486995,33.36202708068335,field_com,StormPoint,321.0,0.10393154853795436
504,660.446061385788,389.713436386276,159.39024436897014,723.8030060805152,339.0691091798246,159.39024436897014,mom05,StormPoint,321.0,0.49654281734881667
551,937.1088517349519,674.302092907919,434.6794796168781,1328.8152636938971,1807.0452222343524,434.6794796168781,mom05,StormPoint,321.0,1.3541416810494644
851,941.4334814526197,744.8353005866466,550.407576255996,671.544403451043,376.6914599509791,376.6914599509791,field_max,WorldsEdge,364.0,1.0348666482169755
7,728.6816863349868,513.9205313081002,331.89192518047196,580.7865074836357,1128.2307054853632,331.89192518047196,mom05,BrokenMoon,380.0,0.8733998031065051
701,292.2498930709813,294.0222142968113,378.3269089028694,228.10696064828014,214.35391295705404,214.35391295705404,field_max,StormPoint,321.0,0.667769199243159
578,954.5412510729959,698.3335968575477,471.2273867253473,1040.1787186937443,1164.7807807480337,471.2273867253473,mom05,StormPoint,321.0,1.4679980894870632
680,542.2195127436858,683.5133959916221,827.2105233856736,47.62541648576871,616.7314851700055,47.62541648576871,field_com,WorldsEdge,364.0,0.13083905627958436
109,280.941275002446,508.731019301949,736.6607088748524,412.37471595565256,604.6886206966363,280.941275002446,center,StormPoint,321.0,0.8752064641820747
314,833.5010497893809,756.3632146660757,728.8273115080143,716.7430848391735,251.2082355337892,251.2082355337892,field_max,WorldsEdge,364.0,0.6901325152027176
267,580.2516695365899,578.8124156408534,578.455918804536,596.526777680096,1169.8475148496912,578.455918804536,mom05,StormPoint,321.0,1.8020433607617945
432,737.651679317549,567.9622016472575,508.6189634687248,835.5873052614107,1410.5864482547668,508.6189634687248,mom05,StormPoint,321.0,1.5844827522390181
371,587.6878423108649,597.3181731707148,637.012558745901,330.5880081517428,765.5263214285972,330.5880081517428,field_com,WorldsEdge,364.0,0.9082088136036891
4,839.2073641240287,572.7919015663542,330.6981251836787,922.4987551233269,1152.960099916732,330.6981251836787,mom05,StormPoint,321.0,1.030212227986538
397,639.8515452821849,525.137124949284,434.5135210784585,433.87555587637365,96.401626542294,96.401626542294,field_max,StormPoint,321.0,0.3003165935897009
290,890.8176019814605,613.9857999172292,343.82590071139197,812.2681041410395,1001.8187468798927,343.82590071139197,mom05,StormPoint,321.0,1.0711087249576074
707,332.0737869811467,440.3125310503893,548.7827438978015,463.7705168772867,782.7592845824312,332.0737869811467,center,StormPoint,321.0,1.0344977787574665
472,917.5320157901848,825.4437064391491,790.1855794685197,1019.1322177326251,1930.070551249357,790.1855794685197,mom05,WorldsEdge,364.0,2.1708395040343946
529,459.61940777125585,674.3141422957107,924.6205978670387,355.7869945068925,398.47169033696827,355.7869945068925,field_com,StormPoint,321.0,1.108370699398419
